Date,Close,High,Low,Open
2021-07-31,7.400000322377309e-05,7.500000356230885e-05,7.100000220816582e-05,7.200000254670158e-05
2021-08-01,7.200000254670158e-05,7.699999696342275e-05,7.200000254670158e-05,7.400000322377309e-05
2021-08-02,7.000000186963007e-05,7.400000322377309e-05,6.800000119255856e-05,7.200000254670158e-05
2021-08-03,7.000000186963007e-05,7.200000254670158e-05,6.800000119255856e-05,7.000000186963007e-05
2021-08-04,7.000000186963007e-05,7.400000322377309e-05,6.70000008540228e-05,7.000000186963007e-05
2021-08-05,7.400000322377309e-05,7.699999696342275e-05,6.800000119255856e-05,7.000000186963007e-05
2021-08-06,7.699999696342275e-05,7.999999797903001e-05,7.300000288523734e-05,7.400000322377309e-05
2021-08-07,8.399999933317304e-05,8.399999933317304e-05,7.599999662488699e-05,7.699999696342275e-05
2021-08-08,8.199999865610152e-05,9.000000136438757e-05,8.099999831756577e-05,8.399999933317304e-05
2021-08-09,9.500000305706635e-05,9.600000339560211e-05,8.099999831756577e-05,8.199999865610152e-05
2021-08-10,9.40000027185306e-05,9.500000305706635e-05,9.000000136438757e-05,9.500000305706635e-05
2021-08-11,0.00014000000373926014,0.00016500000492669642,9.40000027185306e-05,9.40000027185306e-05
2021-08-12,0.00012799999967683107,0.00014400000509340316,0.00010900000052060932,0.00014000000373926014
2021-08-13,0.00018600000475998968,0.0001880000054370612,0.00012799999967683107,0.00012799999967683107
2021-08-14,0.00016599999798927456,0.00019099999917671084,0.00015500000154133886,0.00018600000475998968
2021-08-15,0.00016199999663513154,0.00016999999934341758,0.00015500000154133886,0.00016599999798927456
2021-08-16,0.00015700000221841037,0.00016999999934341758,0.00015300000086426735,0.00016199999663513154
2021-08-17,0.00013000000035390258,0.00015900000289548188,0.00012599999899975955,0.00015700000221841037
2021-08-18,0.0001320000010309741,0.00014099999680183828,0.0001250000059371814,0.0001289999927394092
2021-08-19,0.0001320000010309741,0.00013299999409355223,0.00012199999764561653,0.0001320000010309741
2021-08-20,0.00014000000373926014,0.0001449999981559813,0.00013000000035390258,0.0001320000010309741
2021-08-21,0.0001289999927394092,0.00014000000373926014,0.0001250000059371814,0.00014000000373926014
2021-08-22,0.00012700000661425292,0.0001320000010309741,0.0001250000059371814,0.0001289999927394092
2021-08-23,0.00013099999341648072,0.00013800000306218863,0.00012599999899975955,0.00012700000661425292
2021-08-24,0.00012099999730708078,0.00013099999341648072,0.00011899999663000926,0.00013099999341648072
2021-08-25,0.00012199999764561653,0.0001230000052601099,0.00011600000289035961,0.00012099999730708078
2021-08-26,0.00011200000153621659,0.00012199999764561653,0.00010800000018207356,0.00012199999764561653
2021-08-27,0.00012599999899975955,0.00012799999967683107,0.00010599999950500205,0.00011200000153621659
2021-08-28,0.00012599999899975955,0.00014899999951012433,0.00011999999696854502,0.00012599999899975955
2021-08-29,0.00011600000289035961,0.0001250000059371814,0.00011000000085914508,0.0001250000059371814
2021-08-30,0.00011000000085914508,0.00011700000322889537,0.00010800000018207356,0.00011600000289035961
2021-08-31,0.00010900000052060932,0.00011300000187475234,0.00010800000018207356,0.00011000000085914508
2021-09-01,0.0001140000022132881,0.0001140000022132881,0.00010900000052060932,0.00010900000052060932
2021-09-02,0.0001250000059371814,0.00013000000035390258,0.00011200000153621659,0.0001140000022132881
2021-09-03,0.0001230000052601099,0.00012799999967683107,0.00011999999696854502,0.0001250000059371814
2021-09-04,0.00011600000289035961,0.0001230000052601099,0.00011500000255182385,0.0001230000052601099
2021-09-05,0.00015700000221841037,0.00018600000475998968,0.0001140000022132881,0.00011600000289035961
2021-09-06,0.0001500000071246177,0.0001740000006975606,0.00013899999612476677,0.00015700000221841037
2021-09-07,0.0001289999927394092,0.00016999999934341758,0.00012599999899975955,0.0001500000071246177
2021-09-08,0.00012399999832268804,0.00013099999341648072,0.0001140000022132881,0.0001289999927394092
2021-09-09,0.00012199999764561653,0.00013499999477062374,0.00011899999663000926,0.00012099999730708078
2021-09-10,0.00011100000119768083,0.00012700000661425292,0.00011100000119768083,0.00012199999764561653
2021-09-11,0.00011200000153621659,0.00012599999899975955,0.00011100000119768083,0.00011100000119768083
2021-09-12,0.0001140000022132881,0.00011700000322889537,0.00011200000153621659,0.00011200000153621659
2021-09-13,0.00010599999950500205,0.00011500000255182385,9.7999996796716e-05,0.0001140000022132881
2021-09-14,0.00010699999984353781,0.00010800000018207356,0.00010099999781232327,0.00010599999950500205
2021-09-15,0.00011100000119768083,0.00011500000255182385,0.00010299999848939478,0.00010699999984353781
2021-09-16,0.00011300000187475234,0.0001140000022132881,0.00010599999950500205,0.00011100000119768083
2021-09-17,0.00010599999950500205,0.00011300000187475234,0.00010299999848939478,0.00011300000187475234
2021-09-18,0.00010599999950500205,0.00011200000153621659,0.00010399999882793054,0.00010599999950500205
2021-09-19,0.00010199999815085903,0.00010599999950500205,9.999999747378752e-05,0.00010599999950500205
2021-09-20,8.70000003487803e-05,0.00010199999815085903,7.999999797903001e-05,0.00010199999815085903
2021-09-21,8.099999831756577e-05,8.900000102585182e-05,7.999999797903001e-05,8.70000003487803e-05
2021-09-22,8.600000001024455e-05,8.70000003487803e-05,7.999999797903001e-05,8.099999831756577e-05
2021-09-23,9.000000136438757e-05,9.300000237999484e-05,8.399999933317304e-05,8.600000001024455e-05
2021-09-24,8.199999865610152e-05,9.100000170292333e-05,7.699999696342275e-05,9.000000136438757e-05
2021-09-25,8.299999899463728e-05,8.499999967170879e-05,7.899999764049426e-05,8.199999865610152e-05
2021-09-26,7.899999764049426e-05,8.399999933317304e-05,7.699999696342275e-05,8.299999899463728e-05
2021-09-27,7.899999764049426e-05,8.600000001024455e-05,7.599999662488699e-05,7.899999764049426e-05
2021-09-28,7.300000288523734e-05,8.099999831756577e-05,7.300000288523734e-05,7.899999764049426e-05
2021-09-29,7.200000254670158e-05,7.699999696342275e-05,7.200000254670158e-05,7.300000288523734e-05
2021-09-30,7.500000356230885e-05,7.79999973019585e-05,7.100000220816582e-05,7.200000254670158e-05
2021-10-01,8.499999967170879e-05,8.900000102585182e-05,7.400000322377309e-05,7.500000356230885e-05
2021-10-02,8.70000003487803e-05,8.70000003487803e-05,8.199999865610152e-05,8.600000001024455e-05
2021-10-03,8.600000001024455e-05,8.800000068731606e-05,8.299999899463728e-05,8.70000003487803e-05
2021-10-04,0.00010399999882793054,0.00011800000356743112,8.299999899463728e-05,8.600000001024455e-05
2021-10-05,9.699999645818025e-05,0.0001049999991664663,9.000000136438757e-05,0.00010399999882793054
2021-10-06,0.00010900000052060932,0.00011300000187475234,9.500000305706635e-05,9.699999645818025e-05
2021-10-07,0.00012399999832268804,0.00013899999612476677,0.00010099999781232327,0.00010900000052060932
2021-10-08,0.00010599999950500205,0.00012700000661425292,0.00010099999781232327,0.00012599999899975955
2021-10-09,0.00010800000018207356,0.0001140000022132881,0.00010399999882793054,0.00010599999950500205
2021-10-10,0.00010299999848939478,0.00010900000052060932,0.00010199999815085903,0.00010800000018207356
2021-10-11,0.00010399999882793054,0.00011100000119768083,0.00010099999781232327,0.00010299999848939478
2021-10-12,9.600000339560211e-05,0.00010399999882793054,9.40000027185306e-05,0.00010399999882793054
2021-10-13,0.00010599999950500205,0.00010699999984353781,9.40000027185306e-05,9.600000339560211e-05
2021-10-14,9.999999747378752e-05,0.00010599999950500205,9.899999713525176e-05,0.00010599999950500205
2021-10-15,0.00010099999781232327,0.00010399999882793054,9.600000339560211e-05,9.999999747378752e-05
